Date,Close
1/15/2019,40.490002
1/16/2019,39.889999
1/17/2019,41.630001
1/18/2019,40.98
1/22/2019,39.91
1/23/2019,40.439999
1/24/2019,43.290001
1/25/2019,43.689999
1/28/2019,43.860001
1/29/2019,42.849998
1/30/2019,44.130001
1/31/2019,44.950001
2/1/2019,45.209999
2/4/2019,47.43
2/5/2019,48.16
2/6/2019,48.380001
2/7/2019,46.860001
2/8/2019,48.27
2/11/2019,46.98
2/12/2019,49.209999
2/13/2019,50.200001
2/14/2019,50.970001
2/15/2019,52.080002
2/19/2019,53.220001
2/20/2019,53.639999
2/21/2019,51.48
2/22/2019,64.470001
2/25/2019,64.870003
2/26/2019,65.080002
2/27/2019,67.370003
2/28/2019,66.290001
3/1/2019,69.080002
3/4/2019,67.050003
3/5/2019,68.830002
3/6/2019,71.889999
3/7/2019,70.809998
3/8/2019,71.269997
3/11/2019,74.120003
3/12/2019,70.720001
3/13/2019,60.740002
3/14/2019,61.82
3/15/2019,62.790001
3/18/2019,63.610001
3/19/2019,64.919998
3/20/2019,64.970001
3/21/2019,66.940002
3/22/2019,63.91
3/25/2019,66.900002
3/26/2019,64.309998
3/27/2019,62.18
3/28/2019,64.389999
3/29/2019,64.510002
4/1/2019,69.110001
4/2/2019,70.639999
4/3/2019,68.599998
4/4/2019,64.489998
4/5/2019,63.400002
4/8/2019,60.73
4/9/2019,59.32
4/10/2019,58.57
4/11/2019,58.650002
4/12/2019,56.5
4/15/2019,56.59
4/16/2019,58.040001
4/17/2019,56.599998
4/18/2019,56.68
4/22/2019,58.200001
4/23/2019,61.529999
4/24/2019,60.970001
4/25/2019,61.040001
4/26/2019,63.439999
4/29/2019,63.279999
4/30/2019,63.59
5/1/2019,63.689999
5/2/2019,64.389999
5/3/2019,65.019997
5/6/2019,65.75
5/7/2019,64.410004
5/8/2019,64.919998
5/9/2019,83.169998
5/10/2019,82.75
5/13/2019,79.449997
5/14/2019,82.830002
5/15/2019,83.339996
5/16/2019,83.279999
5/17/2019,84.029999
5/20/2019,83.330002
5/21/2019,87.629997
5/22/2019,88.019997
5/23/2019,89.980003
5/24/2019,95.779999
5/28/2019,88.830002
5/29/2019,91.800003
5/30/2019,93.339996
5/31/2019,90.400002
6/3/2019,89.709999
6/4/2019,93.599998
6/5/2019,101.709999
6/6/2019,100.25
6/7/2019,101.870003
6/10/2019,100.610001
6/11/2019,100.199997
6/12/2019,104.860001
6/13/2019,104.970001
6/14/2019,102.019997
6/17/2019,103.839996
6/18/2019,104.389999
6/19/2019,106.489998
6/20/2019,104.900002
6/21/2019,102.57
6/24/2019,100.029999
6/25/2019,93.25
6/26/2019,92.300003
6/27/2019,93.230003
6/28/2019,90.580002
7/1/2019,91.370003
7/2/2019,93.050003
7/3/2019,93.510002
7/5/2019,98.110001
7/8/2019,103.25
7/9/2019,103.400002
7/10/2019,103.5
7/11/2019,104.540001
7/12/2019,102.470001
7/15/2019,104.339996
7/16/2019,111.940002
7/17/2019,109.339996
7/18/2019,109.019997
7/19/2019,106.849998
7/22/2019,108.599998
7/23/2019,104.919998
7/24/2019,107.660004
7/25/2019,106.889999
7/26/2019,110.449997
7/29/2019,105.129997
7/30/2019,105.760002
7/31/2019,103.330002
8/1/2019,100.845001
8/2/2019,100.529999
8/5/2019,102.57
8/6/2019,98.480003
8/7/2019,100.970001
8/8/2019,122.029999
8/9/2019,125.32
8/12/2019,134.300003
8/13/2019,135.330002
8/14/2019,130.570007
8/15/2019,129.399994
8/16/2019,131.039993
8/19/2019,134.960007
8/20/2019,134.259995
8/21/2019,138.580002
8/22/2019,139.139999
8/23/2019,137.740005
8/26/2019,143.009995
8/27/2019,147.020004
8/28/2019,145.889999
8/29/2019,149.880005
8/30/2019,151.360001
9/3/2019,156.880005
9/4/2019,168.910004
9/5/2019,166.929993
9/6/2019,169.860001
9/9/2019,161.029999
9/10/2019,144.139999
9/11/2019,149.759995
9/12/2019,147.779999
9/13/2019,147.550003
9/16/2019,149.539993
9/17/2019,150.520004
9/18/2019,129.880005
9/19/2019,133.759995
9/20/2019,108.050003
9/23/2019,107.370003
9/24/2019,103.529999
9/25/2019,106.300003
9/26/2019,103.339996
9/27/2019,99.739998
9/30/2019,101.760002
10/1/2019,102.400002
10/2/2019,102.620003
10/3/2019,108.839996
10/4/2019,106.769997
10/7/2019,106.25
10/8/2019,108
10/9/2019,117.790001
10/10/2019,116.129997
10/11/2019,121.599998
10/14/2019,119.120003
10/15/2019,132.820007
10/16/2019,132.5
10/17/2019,139.070007
10/18/2019,129.940002
10/21/2019,133.029999
10/22/2019,129.059998
10/23/2019,128.759995
10/24/2019,131.220001
10/25/2019,133.740005
10/28/2019,146.880005
10/29/2019,147.240005
10/30/2019,149.429993
10/31/2019,147.199997
11/1/2019,146.5
11/4/2019,140.509995
11/5/2019,139.570007
11/6/2019,141.050003
11/7/2019,118.459999
11/8/2019,121.940002
11/11/2019,129.210007
11/12/2019,135.350006
11/13/2019,142.369995
11/14/2019,148.699997
11/15/2019,157.300003
11/18/2019,160.119995
11/19/2019,153.910004
11/20/2019,158.929993
11/21/2019,155.910004
11/22/2019,158.75
11/25/2019,158.080002
11/26/2019,164.279999
11/27/2019,161.639999
11/29/2019,160.369995
12/2/2019,136.070007
12/3/2019,144.630005
12/4/2019,150.580002
12/5/2019,148.339996
12/6/2019,144.259995
12/9/2019,145.539993
12/10/2019,147.089996
12/11/2019,145.699997
12/12/2019,139.570007
12/13/2019,132.490005
12/16/2019,138.350006
12/17/2019,135.279999
12/18/2019,134.440002
12/19/2019,137.729996
12/20/2019,136.889999
12/23/2019,140.139999
12/24/2019,145.570007
12/26/2019,144.600006
12/27/2019,139.520004
12/30/2019,131.600006
12/31/2019,133.899994
1/2/2020,137.100006
1/3/2020,137.509995
1/6/2020,143.369995
1/7/2020,138.190002
1/8/2020,134.639999
1/9/2020,133.789993
1/10/2020,128.399994
1/13/2020,133.929993
